inventory_id,entity_id,url,status_code,depth,title,page_kind,keyword_hits,language_hint,phone_candidates,email_candidates,form_fields,candidate_source_id,linked_from,source_status,confidence,last_checked,notes
WPI-0030,LRA,https://www.litani.gov.lb/en-us/aboutlra/organigram,200,0,Organigram,projects_or_irrigation,projects_or_irrigation;about,en_or_latin,01- 662112,,GLobalSearchText|Search....|text;GlobalSearchButton|button,SRC-LRA-ORGANIGRAM,SRC-LRA-ORGANIGRAM,existing_source,high,2026-05-31,
WPI-0031,LRA,https://www.litani.gov.lb/en-us/aboutlrb,200,0,AboutLRB,projects_or_irrigation,projects_or_irrigation;about,en_or_latin,01- 662112,,GLobalSearchText|Search....|text;GlobalSearchButton|button,SRC-LRA-BASIN,SRC-LRA-BASIN,existing_source,high,2026-05-31,
WPI-0032,LRA,https://www.litani.gov.lb/en-us/contact,200,1,Contact Us,contact,contact;projects_or_irrigation,en_or_latin,01- 662112;01- 660476;01 - 834 816;01 - 825 431;07- 810297;08-651236;08-650377;08 - 651238;07- 360 636;07- 740956;07-230198;07 - 391063,,GLobalSearchText|Search....|text;GlobalSearchButton|button;__RequestVerificationToken|hidden;FirstName|FirstName|First Name|text;LastName|LastName|First Name|text;EmailInput|EmailInput|Email|email;subject|subject|Subject|text;UploadedFile|FileInput|file;Message|Message|Message;SubmitForm|button,SRC-LRA-EN-US-CONTACT,SRC-LRA-ORGANIGRAM,official_candidate,medium,2026-05-31,
WPI-0033,LRA,https://www.litani.gov.lb/,200,1,الصفحة الرئيسية - المصلحة الوطنية لنهر الليطاني,projects_or_irrigation,projects_or_irrigation,ar,8699300,,GLobalSearchText|ابحث حسب العنوان و المحتوى|text;GlobalSearchButton|button;HoveredImage#0|hidden;href|hidden;HoveredImage#1|hidden;HoveredImage#2|hidden,SRC-LRA-HOME,SRC-LRA-ORGANIGRAM,official_candidate,medium,2026-05-31,
WPI-0034,LRA,https://www.litani.gov.lb/ar-lb/aboutlra/organigram,200,1,هيكلية ومهام المصلحة,projects_or_irrigation,projects_or_irrigation;about,ar,,,GLobalSearchText|ابحث حسب العنوان و المحتوى|text;GlobalSearchButton|button,SRC-LRA-ABOUTLRA-ORGANIGRAM,SRC-LRA-ORGANIGRAM,official_candidate,medium,2026-05-31,
WPI-0035,LRA,https://www.litani.gov.lb/ar-lb/aboutlrb,200,1,AboutLRB,projects_or_irrigation,projects_or_irrigation;about,ar,1000,,GLobalSearchText|ابحث حسب العنوان و المحتوى|text;GlobalSearchButton|button,SRC-LRA-AR-LB-ABOUTLRB,SRC-LRA-BASIN,official_candidate,medium,2026-05-31,
WPI-0036,LRA,https://www.litani.gov.lb/cdn-cgi/l/email-protection,404,1,Email Protection | Cloudflare,projects_or_irrigation,projects_or_irrigation,en_or_latin,,,,SRC-LRA-L-EMAIL-PROTECTION,SRC-LRA-ORGANIGRAM,official_candidate,medium,2026-05-31,
WPI-0037,LRA,https://www.litani.gov.lb/en-us,200,1,Home Page - Litani River Authority,projects_or_irrigation,projects_or_irrigation,en_or_latin,8699300;01- 662112,,GLobalSearchText|Search....|text;GlobalSearchButton|button;HoveredImage#0|hidden;href|hidden;HoveredImage#1|hidden;HoveredImage#2|hidden,SRC-LRA-EN-US,SRC-LRA-ORGANIGRAM,official_candidate,medium,2026-05-31,
WPI-0038,LRA,https://www.litani.gov.lb/en-us/aboutlra/corporateagreements,200,1,Cooperation agreements,projects_or_irrigation,projects_or_irrigation;about,en_or_latin,01- 662112,,GLobalSearchText|Search....|text;GlobalSearchButton|button;searchtext|SearchText|Search....|text;DxDateFromInput|hidden;DxDateToInput|hidden;button,SRC-LRA-ABOUTLRA-CORPORATEAGREEMENTS,SRC-LRA-ORGANIGRAM,official_candidate,medium,2026-05-31,
WPI-0039,LRA,https://www.litani.gov.lb/en-us/aboutlra/implementingregulations,200,1,Regulations,projects_or_irrigation,projects_or_irrigation;about,en_or_latin,1295;01- 662112,,GLobalSearchText|Search....|text;GlobalSearchButton|button;searchtext|SearchText|Search....|text;ImplementingRegulationsType;DxDateFromInput|hidden;DxDateToInput|hidden;button,SRC-LRA-ABOUTLRA-IMPLEMENTINGREGULATIONS,SRC-LRA-ORGANIGRAM,official_candidate,medium,2026-05-31,
WPI-0040,LRA,https://www.litani.gov.lb/en-us/aboutlra/lraproject,200,1,LRA Projects,projects_or_irrigation,projects_or_irrigation;about,en_or_latin,1970;01- 662112,,GLobalSearchText|Search....|text;GlobalSearchButton|button;searchtext|SearchText|Search....|text;button,SRC-LRA-ABOUTLRA-LRAPROJECT,SRC-LRA-ORGANIGRAM,official_candidate,medium,2026-05-31,
WPI-0041,LRA,https://www.litani.gov.lb/en-us/aboutlra/worldbankagreement,200,1,World Bank Loan Agreement,projects_or_irrigation,projects_or_irrigation;about,en_or_latin,1962;1968;01- 662112,,GLobalSearchText|Search....|text;GlobalSearchButton|button;button;searchtext|SearchText|Search....|text;DxDateFromInput|hidden;DxDateToInput|hidden,SRC-LRA-ABOUTLRA-WORLDBANKAGREEMENT,SRC-LRA-ORGANIGRAM,official_candidate,medium,2026-05-31,
WPI-0042,LRA,https://www.litani.gov.lb/en-us/aboutlra/yearlyreport,200,1,Annual reports,projects_or_irrigation,projects_or_irrigation;about,en_or_latin,1999;1998;1997;1996;1995;1994;1993;1963;1960;01- 662112,,GLobalSearchText|Search....|text;GlobalSearchButton|button,SRC-LRA-ABOUTLRA-YEARLYREPORT,SRC-LRA-ORGANIGRAM,official_candidate,medium,2026-05-31,
WPI-0043,LRA,https://www.litani.gov.lb/en-us/announcements/circulars,200,1,Circulars,projects_or_irrigation,projects_or_irrigation;news_or_notice,en_or_latin,01- 662112,,GLobalSearchText|Search....|text;GlobalSearchButton|button;searchtext|SearchText|Search....|text;DxDateFromInput|hidden;DxDateToInput|hidden;button,SRC-LRA-ANNOUNCEMENTS-CIRCULARS,SRC-LRA-ORGANIGRAM,official_candidate,medium,2026-05-31,
WPI-0044,LRA,https://www.litani.gov.lb/en-us/announcements/externalcommunications,200,1,External Communications,projects_or_irrigation,projects_or_irrigation;news_or_notice,en_or_latin,01- 662112,,GLobalSearchText|Search....|text;GlobalSearchButton|button;searchtext|SearchText|Search....|text;DxDateFromInput|hidden;DxDateToInput|hidden;button,SRC-LRA-ANNOUNCEMENTS-EXTERNALCOMMUNICATIONS,SRC-LRA-ORGANIGRAM,official_candidate,medium,2026-05-31,
WPI-0045,LRA,https://www.litani.gov.lb/en-us/announcements/procurements,200,1,Procurements,projects_or_irrigation,projects_or_irrigation;news_or_notice,en_or_latin,01- 662112,,GLobalSearchText|Search....|text;GlobalSearchButton|button;searchtext|SearchText|Search....|text;DxDateFromInput|hidden;DxDateToInput|hidden;button,SRC-LRA-ANNOUNCEMENTS-PROCUREMENTS,SRC-LRA-ORGANIGRAM,official_candidate,medium,2026-05-31,
WPI-0046,LRA,https://www.litani.gov.lb/en-us/announcements/procurements,200,1,Procurements,projects_or_irrigation,projects_or_irrigation;news_or_notice,en_or_latin,01- 662112,,GLobalSearchText|Search....|text;GlobalSearchButton|button;searchtext|SearchText|Search....|text;DxDateFromInput|hidden;DxDateToInput|hidden;button,SRC-LRA-ANNOUNCEMENTS-PROCUREMENTS,SRC-LRA-ORGANIGRAM,official_candidate,medium,2026-05-31,
WPI-0047,LRA,https://www.litani.gov.lb/en-us/depollution/depollutionprojects,200,1,Depollution Projects,projects_or_irrigation,projects_or_irrigation,en_or_latin,7889238;4485223;3155695;1142229;8152212;01- 662112,,GLobalSearchText|Search....|text;GlobalSearchButton|button;DepollutionProjectTypes;searchtext|SearchText|Project Name|text;Sector;GeoLocation;Funder;DxDateFromInput|hidden;DxDateToInput|hidden;Status;Program;ExecutingAuthority;button,SRC-LRA-DEPOLLUTION-DEPOLLUTIONPROJECTS,SRC-LRA-ORGANIGRAM,official_candidate,medium,2026-05-31,
WPI-0048,LRA,https://www.litani.gov.lb/en-us/depollution/pollutionchallenges,200,1,Sources of pollution,projects_or_irrigation,projects_or_irrigation,en_or_latin,1068;01- 662112,,GLobalSearchText|Search....|text;GlobalSearchButton|button,SRC-LRA-DEPOLLUTION-POLLUTIONCHALLENGES,SRC-LRA-ORGANIGRAM,official_candidate,medium,2026-05-31,
WPI-0049,LRA,https://www.litani.gov.lb/en-us/depollution/pollutionpreventionandcontrol,200,1,Measures to remove pollution and protect water and environmental resources,projects_or_irrigation,projects_or_irrigation,en_or_latin,1000;1100;1701;1970;01- 662112,,GLobalSearchText|Search....|text;GlobalSearchButton|button,SRC-LRA-DEPOLLUTION-POLLUTIONPREVENTIONANDCO,SRC-LRA-ORGANIGRAM,official_candidate,medium,2026-05-31,
WPI-0050,LRA,https://www.litani.gov.lb/en-us/gallery,200,1,Photo Gallery,projects_or_irrigation,projects_or_irrigation,en_or_latin,01- 662112,,GLobalSearchText|Search....|text;GlobalSearchButton|button;Orders,SRC-LRA-EN-US-GALLERY,SRC-LRA-ORGANIGRAM,official_candidate,medium,2026-05-31,
WPI-0051,LRA,https://www.litani.gov.lb/en-us/geomap,200,1,Geographical maps,projects_or_irrigation,projects_or_irrigation,en_or_latin,01- 662112,,GLobalSearchText|Search....|text;GlobalSearchButton|button;searchtext|SearchText|Search....|text;button,SRC-LRA-EN-US-GEOMAP,SRC-LRA-ORGANIGRAM,official_candidate,medium,2026-05-31,
WPI-0052,LRA,https://www.litani.gov.lb/en-us/indicators/electricityproductions,200,1,Electricity production,projects_or_irrigation,projects_or_irrigation,en_or_latin,01- 662112,,GLobalSearchText|Search....|text;GlobalSearchButton|button;DxDateFromInput|hidden;DxDateToInput|hidden;Frequency;button,SRC-LRA-INDICATORS-ELECTRICITYPRODUCTIONS,SRC-LRA-ORGANIGRAM,official_candidate,medium,2026-05-31,
WPI-0053,LRA,https://www.litani.gov.lb/en-us/indicators/indicatorswaterquantity,200,1,Level of water,projects_or_irrigation,projects_or_irrigation,en_or_latin,01- 662112,,GLobalSearchText|Search....|text;GlobalSearchButton|button;DxDateFromInput|hidden;DxDateToInput|hidden;searchdate|button;HiddenChartTitle|hidden,SRC-LRA-INDICATORS-INDICATORSWATERQUANTITY,SRC-LRA-ORGANIGRAM,official_candidate,medium,2026-05-31,
WPI-0054,LRA,https://www.litani.gov.lb/en-us/news,200,1,News,projects_or_irrigation,projects_or_irrigation;news_or_notice,en_or_latin,01- 662112,,GLobalSearchText|Search....|text;GlobalSearchButton|button;searchtext|SearchText|Search....|text;DxDateFromInput|hidden;DxDateToInput|hidden;button,SRC-LRA-EN-US-NEWS,SRC-LRA-ORGANIGRAM,official_candidate,medium,2026-05-31,
WPI-0055,LRA,https://www.litani.gov.lb/en-us/quicklinks,200,1,Quick Links,projects_or_irrigation,projects_or_irrigation,en_or_latin,01- 662112,,GLobalSearchText|Search....|text;GlobalSearchButton|button,SRC-LRA-EN-US-QUICKLINKS,SRC-LRA-ORGANIGRAM,official_candidate,medium,2026-05-31,
WPI-0056,LRA,https://www.litani.gov.lb/en-us/termsandcondition,200,1,Terms and Conditions,projects_or_irrigation,projects_or_irrigation,en_or_latin,01- 662112,,GLobalSearchText|Search....|text;GlobalSearchButton|button,SRC-LRA-EN-US-TERMSANDCONDITION,SRC-LRA-ORGANIGRAM,official_candidate,medium,2026-05-31,
WPI-0057,LRA,https://www.litani.gov.lb/en-us/indicators/indicatorswaterquality,200,1,Quality of water,water_quality,water_quality;projects_or_irrigation,en_or_latin,01- 662112,,GLobalSearchText|Search....|text;GlobalSearchButton|button;FactorType;Factor;DxDateFromInput|hidden;DxDateToInput|hidden;Basin;SamplePoint;loadchartbutton|button,SRC-LRA-INDICATORS-INDICATORSWATERQUALITY,SRC-LRA-ORGANIGRAM,official_candidate,medium,2026-05-31,
WPI-0058,MEW,https://www.energyandwater.gov.lb/ar/details/99833/%D8%A7%D9%84%D9%85%D8%AF%D8%B1%D9%8A-%D8%A9-%D8%A7%D9%84%D8%B9%D8%A7%D9%85%D8%A9-%D8%A7%D9%84%D8%A5%D8%B3%D8%AA%D8%AB%D9%85%D8%A7%D8%B1,200,0,الموقع الرسمي لوزارة الطاقة والمياه | المديرية العامة للإستثمار,projects_or_irrigation,projects_or_irrigation,ar,1966;1972;1735;8803/200;5469/196;1735/200;1997,,hdnRootFldr|hdnRootFldr|hidden;cmbMinistriesSites|cmbMinistriesSites;txtGlobalKeywords|txtGlobalKeywords|البحث|text,SRC-MEW-DGI,SRC-MEW-DGI,existing_source,high,2026-05-31,
WPI-0059,MEW,https://www.energyandwater.gov.lb/ar/details/101120/%D8%A7%D9%84%D8%B7%D8%A7%D9%82%D8%A9-%D8%A7%D9%84%D9%87%D8%A8%D8%A9-%D8%A7%D9%84%D8%B9%D8%B1%D8%A7%D9%82%D9%8A%D8%A9-%D9%85%D8%AE%D8%AA%D9%88%D9%85%D8%A9-%D9%81%D9%8A-%D8%AE%D8%B2%D8%A7%D9%86%D8%A7%D8%AA-%D9%85%D9%86%D8%B4-%D8%AA-%D8%A7%D9%84%D9%86%D9%81%D8%B7-%D8%AE%D9%84%D8%A7%D9%81%D8%A7-%D9%84%D8%A5%D8%AF%D8%B9%D8%A7-%D8%A7%D8%AA-%D8%A7%D9%84%D8%A3%D8%AE%D8%A8%D8%A7%D8%B1,200,1,"الموقع الرسمي لوزارة الطاقة والمياه | ""الطاقة"": الهبة العراقية مختومة في خزانات منشآت النفط خلافاً لإدعاءات ""الأخبار""",news_or_notice,news_or_notice,ar,,,hdnRootFldr|hdnRootFldr|hidden;cmbMinistriesSites|cmbMinistriesSites;txtGlobalKeywords|txtGlobalKeywords|البحث|text,SRC-MEW-101120-D8-A7-D9-84-D8-B7-D8-A7-D9-82,SRC-MEW-DGI,low_signal_official_page,low,2026-05-31,
WPI-0060,MEW,https://www.energyandwater.gov.lb/ar/listing/newsroom/announcements?l=3,200,1,الموقع الرسمي لوزارة الطاقة والمياه | الاخبار,news_or_notice,news_or_notice,ar,,,hdnRootFldr|hdnRootFldr|hidden;cmbMinistriesSites|cmbMinistriesSites;txtGlobalKeywords|txtGlobalKeywords|البحث|text;hdnListingLayout|hidden;txtFilterKeywords|txtFilterKeywords|البحث|text;txtFromDate|txtFromDate|من تاريخ|text;txtToDate|txtToDate|إلى تاريخ|text;cmbCategories|cmbCategories,SRC-MEW-NEWSROOM-ANNOUNCEMENTS,SRC-MEW-DGI,low_signal_official_page,low,2026-05-31,
WPI-0061,MEW,https://www.energyandwater.gov.lb/ar/listing/newsroom/news?l=3,200,1,الموقع الرسمي لوزارة الطاقة والمياه | الاخبار,news_or_notice,news_or_notice,ar,,,hdnRootFldr|hdnRootFldr|hidden;cmbMinistriesSites|cmbMinistriesSites;txtGlobalKeywords|txtGlobalKeywords|البحث|text;hdnListingLayout|hidden;txtFilterKeywords|txtFilterKeywords|البحث|text;txtFromDate|txtFromDate|من تاريخ|text;txtToDate|txtToDate|إلى تاريخ|text;cmbCategories|cmbCategories,SRC-MEW-NEWSROOM-NEWS,SRC-MEW-DGI,low_signal_official_page,low,2026-05-31,
WPI-0062,MEW,https://www.energyandwater.gov.lb/ar/contact,200,1,الموقع الرسمي لوزارة الطاقة والمياه,contact,contact,ar,01/565040;01/449639,minister@energyandwater.gov.lb,hdnRootFldr|hdnRootFldr|hidden;cmbMinistriesSites|cmbMinistriesSites;txtGlobalKeywords|txtGlobalKeywords|البحث|text;hdnCategoryId|hidden;txtFirstName|txtFirstName|الاسم*|text;txtLastName|txtLastName|اسم العائلة*|text;txtEmail|txtEmail|البريد الإلكتروني|email;txtPhone|txtPhone|هاتف*|tel;txtSubject|txtSubject|الموضوع *|text;txtMessage|txtMessage|الرسالة*,SRC-MEW-AR-CONTACT,SRC-MEW-DGI,official_candidate,medium,2026-05-31,
WPI-0063,MEW,https://www.energyandwater.gov.lb/ar/departments,200,1,الموقع الرسمي لوزارة الطاقة والمياه,coverage_or_branch,coverage_or_branch,ar,,,hdnRootFldr|hdnRootFldr|hidden;cmbMinistriesSites|cmbMinistriesSites;txtGlobalKeywords|txtGlobalKeywords|البحث|text,SRC-MEW-AR-DEPARTMENTS,SRC-MEW-DGI,official_candidate,medium,2026-05-31,
