resolution_id,municipality_id,municipality_key,municipality_name_en,municipality_name_ar,district,governorate,water_entity_id,water_entity_name,branch_service_center_id,branch_service_center_name,branch_service_center_phone,branch_service_center_address,resolution_basis,confidence,source_ids,verification_status,retrieved_date,notes
WER-50129,50129,MUN-DGLAC-50129,Chanehye,شانيه,Aalay,Mount Lebanon,BMLWE,Beirut and Mount Lebanon Water Establishment,BMLWE-COAST-METN,Coast of Metn Department,,Borj Hammoud - St. Joseph Street,municipality_service_mapping_plus_branch_hint,medium_high,SRC-BMLWE-ABOUT;SRC-BMLWE-CONTACT,source_backed_entity_scope_branch_hint,2026-05-31,Entity resolved from municipality_service_mappings.csv; branch is a district/service-area hint and should not override exact office instructions.
WER-50120,50120,MUN-DGLAC-50120,Charoun,شارون,Aalay,Mount Lebanon,BMLWE,Beirut and Mount Lebanon Water Establishment,BMLWE-COAST-METN,Coast of Metn Department,,Borj Hammoud - St. Joseph Street,municipality_service_mapping_plus_branch_hint,medium_high,SRC-BMLWE-ABOUT;SRC-BMLWE-CONTACT,source_backed_entity_scope_branch_hint,2026-05-31,Entity resolved from municipality_service_mappings.csv; branch is a district/service-area hint and should not override exact office instructions.
WER-50048,50048,MUN-DGLAC-50048,Dfoun,دفون,Aalay,Mount Lebanon,BMLWE,Beirut and Mount Lebanon Water Establishment,BMLWE-COAST-METN,Coast of Metn Department,,Borj Hammoud - St. Joseph Street,municipality_service_mapping_plus_branch_hint,medium_high,SRC-BMLWE-ABOUT;SRC-BMLWE-CONTACT,source_backed_entity_scope_branch_hint,2026-05-31,Entity resolved from municipality_service_mappings.csv; branch is a district/service-area hint and should not override exact office instructions.
WER-50318,50318,MUN-DGLAC-50318,Kaifun,كيفون,Aalay,Mount Lebanon,BMLWE,Beirut and Mount Lebanon Water Establishment,BMLWE-COAST-METN,Coast of Metn Department,,Borj Hammoud - St. Joseph Street,municipality_service_mapping_plus_branch_hint,medium_high,SRC-BMLWE-ABOUT;SRC-BMLWE-CONTACT,source_backed_entity_scope_branch_hint,2026-05-31,Entity resolved from municipality_service_mappings.csv; branch is a district/service-area hint and should not override exact office instructions.
WER-50309,50309,MUN-DGLAC-50309,Kfarmatta,كفرمتى,Aalay,Mount Lebanon,BMLWE,Beirut and Mount Lebanon Water Establishment,BMLWE-COAST-METN,Coast of Metn Department,,Borj Hammoud - St. Joseph Street,municipality_service_mapping_plus_branch_hint,medium_high,SRC-BMLWE-ABOUT;SRC-BMLWE-CONTACT,source_backed_entity_scope_branch_hint,2026-05-31,Entity resolved from municipality_service_mappings.csv; branch is a district/service-area hint and should not override exact office instructions.
WER-50336,50336,MUN-DGLAC-50336,Majdlaya,مجدلايا,Aalay,Mount Lebanon,BMLWE,Beirut and Mount Lebanon Water Establishment,BMLWE-COAST-METN,Coast of Metn Department,,Borj Hammoud - St. Joseph Street,municipality_service_mapping_plus_branch_hint,medium_high,SRC-BMLWE-ABOUT;SRC-BMLWE-CONTACT,source_backed_entity_scope_branch_hint,2026-05-31,Entity resolved from municipality_service_mappings.csv; branch is a district/service-area hint and should not override exact office instructions.
WER-50084,50084,MUN-DGLAC-50084,Remhala,رمحالا,Aalay,Mount Lebanon,BMLWE,Beirut and Mount Lebanon Water Establishment,BMLWE-COAST-METN,Coast of Metn Department,,Borj Hammoud - St. Joseph Street,municipality_service_mapping_plus_branch_hint,medium_high,SRC-BMLWE-ABOUT;SRC-BMLWE-CONTACT,source_backed_entity_scope_branch_hint,2026-05-31,Entity resolved from municipality_service_mappings.csv; branch is a district/service-area hint and should not override exact office instructions.
WER-50165,50165,MUN-DGLAC-50165,Sofar,صوفر,Aalay,Mount Lebanon,BMLWE,Beirut and Mount Lebanon Water Establishment,BMLWE-COAST-METN,Coast of Metn Department,,Borj Hammoud - St. Joseph Street,municipality_service_mapping_plus_branch_hint,medium_high,SRC-BMLWE-ABOUT;SRC-BMLWE-CONTACT,source_backed_entity_scope_branch_hint,2026-05-31,Entity resolved from municipality_service_mappings.csv; branch is a district/service-area hint and should not override exact office instructions.
WER-MUN-MOIM-2025-06011bd42fe3,MUN-MOIM-2025-06011bd42fe3,MUN-MOIM-2025-06011bd42fe3,,رمح ال,Aley,Mount Lebanon,BMLWE,Beirut and Mount Lebanon Water Establishment,BMLWE-ALEY,Aley Department,,Aley - Piscine Street - Ghatrif Building,municipality_service_mapping_plus_branch_hint,medium_high,SRC-BMLWE-ABOUT;SRC-BMLWE-CONTACT,source_backed_entity_scope_branch_hint,2026-05-31,Entity resolved from municipality_service_mappings.csv; branch is a district/service-area hint and should not override exact office instructions.
WER-MUN-MOIM-2025-103a1714f807,MUN-MOIM-2025-103a1714f807,MUN-MOIM-2025-103a1714f807,,عين الرمانه,Aley,Mount Lebanon,BMLWE,Beirut and Mount Lebanon Water Establishment,BMLWE-ALEY,Aley Department,,Aley - Piscine Street - Ghatrif Building,municipality_service_mapping_plus_branch_hint,medium_high,SRC-BMLWE-ABOUT;SRC-BMLWE-CONTACT,source_backed_entity_scope_branch_hint,2026-05-31,Entity resolved from municipality_service_mappings.csv; branch is a district/service-area hint and should not override exact office instructions.
WER-MUN-MOIM-2025-10de809cc52e,MUN-MOIM-2025-10de809cc52e,MUN-MOIM-2025-10de809cc52e,,بخشتيه,Aley,Mount Lebanon,BMLWE,Beirut and Mount Lebanon Water Establishment,BMLWE-ALEY,Aley Department,,Aley - Piscine Street - Ghatrif Building,municipality_service_mapping_plus_branch_hint,medium_high,SRC-BMLWE-ABOUT;SRC-BMLWE-CONTACT,source_backed_entity_scope_branch_hint,2026-05-31,Entity resolved from municipality_service_mappings.csv; branch is a district/service-area hint and should not override exact office instructions.
WER-MUN-MOIM-2025-175d92a708d4,MUN-MOIM-2025-175d92a708d4,MUN-MOIM-2025-175d92a708d4,,سرحمول,Aley,Mount Lebanon,BMLWE,Beirut and Mount Lebanon Water Establishment,BMLWE-ALEY,Aley Department,,Aley - Piscine Street - Ghatrif Building,municipality_service_mapping_plus_branch_hint,medium_high,SRC-BMLWE-ABOUT;SRC-BMLWE-CONTACT,source_backed_entity_scope_branch_hint,2026-05-31,Entity resolved from municipality_service_mappings.csv; branch is a district/service-area hint and should not override exact office instructions.
WER-MUN-MOIM-2025-202daedd9a34,MUN-MOIM-2025-202daedd9a34,MUN-MOIM-2025-202daedd9a34,,كفرعميه,Aley,Mount Lebanon,BMLWE,Beirut and Mount Lebanon Water Establishment,BMLWE-ALEY,Aley Department,,Aley - Piscine Street - Ghatrif Building,municipality_service_mapping_plus_branch_hint,medium_high,SRC-BMLWE-ABOUT;SRC-BMLWE-CONTACT,source_backed_entity_scope_branch_hint,2026-05-31,Entity resolved from municipality_service_mappings.csv; branch is a district/service-area hint and should not override exact office instructions.
WER-MUN-MOIM-2025-2b3d12847b83,MUN-MOIM-2025-2b3d12847b83,MUN-MOIM-2025-2b3d12847b83,,بشامون,Aley,Mount Lebanon,BMLWE,Beirut and Mount Lebanon Water Establishment,BMLWE-ALEY,Aley Department,,Aley - Piscine Street - Ghatrif Building,municipality_service_mapping_plus_branch_hint,medium_high,SRC-BMLWE-ABOUT;SRC-BMLWE-CONTACT,source_backed_entity_scope_branch_hint,2026-05-31,Entity resolved from municipality_service_mappings.csv; branch is a district/service-area hint and should not override exact office instructions.
WER-MUN-MOIM-2025-2b56c5f402d7,MUN-MOIM-2025-2b56c5f402d7,MUN-MOIM-2025-2b56c5f402d7,,بطلون,Aley,Mount Lebanon,BMLWE,Beirut and Mount Lebanon Water Establishment,BMLWE-ALEY,Aley Department,,Aley - Piscine Street - Ghatrif Building,municipality_service_mapping_plus_branch_hint,medium_high,SRC-BMLWE-ABOUT;SRC-BMLWE-CONTACT,source_backed_entity_scope_branch_hint,2026-05-31,Entity resolved from municipality_service_mappings.csv; branch is a district/service-area hint and should not override exact office instructions.
WER-MUN-MOIM-2025-35455e86bc9a,MUN-MOIM-2025-35455e86bc9a,MUN-MOIM-2025-35455e86bc9a,,عيتات,Aley,Mount Lebanon,BMLWE,Beirut and Mount Lebanon Water Establishment,BMLWE-ALEY,Aley Department,,Aley - Piscine Street - Ghatrif Building,municipality_service_mapping_plus_branch_hint,medium_high,SRC-BMLWE-ABOUT;SRC-BMLWE-CONTACT,source_backed_entity_scope_branch_hint,2026-05-31,Entity resolved from municipality_service_mappings.csv; branch is a district/service-area hint and should not override exact office instructions.
WER-MUN-MOIM-2025-38880de408c7,MUN-MOIM-2025-38880de408c7,MUN-MOIM-2025-38880de408c7,,الغابون,Aley,Mount Lebanon,BMLWE,Beirut and Mount Lebanon Water Establishment,BMLWE-ALEY,Aley Department,,Aley - Piscine Street - Ghatrif Building,municipality_service_mapping_plus_branch_hint,medium_high,SRC-BMLWE-ABOUT;SRC-BMLWE-CONTACT,source_backed_entity_scope_branch_hint,2026-05-31,Entity resolved from municipality_service_mappings.csv; branch is a district/service-area hint and should not override exact office instructions.
WER-MUN-MOIM-2025-3f6ba6a315fc,MUN-MOIM-2025-3f6ba6a315fc,MUN-MOIM-2025-3f6ba6a315fc,,اغميد,Aley,Mount Lebanon,BMLWE,Beirut and Mount Lebanon Water Establishment,BMLWE-ALEY,Aley Department,,Aley - Piscine Street - Ghatrif Building,municipality_service_mapping_plus_branch_hint,medium_high,SRC-BMLWE-ABOUT;SRC-BMLWE-CONTACT,source_backed_entity_scope_branch_hint,2026-05-31,Entity resolved from municipality_service_mappings.csv; branch is a district/service-area hint and should not override exact office instructions.
WER-MUN-MOIM-2025-465864d18b1c,MUN-MOIM-2025-465864d18b1c,MUN-MOIM-2025-465864d18b1c,,شرتون,Aley,Mount Lebanon,BMLWE,Beirut and Mount Lebanon Water Establishment,BMLWE-ALEY,Aley Department,,Aley - Piscine Street - Ghatrif Building,municipality_service_mapping_plus_branch_hint,medium_high,SRC-BMLWE-ABOUT;SRC-BMLWE-CONTACT,source_backed_entity_scope_branch_hint,2026-05-31,Entity resolved from municipality_service_mappings.csv; branch is a district/service-area hint and should not override exact office instructions.
WER-MUN-MOIM-2025-4a35f9429825,MUN-MOIM-2025-4a35f9429825,MUN-MOIM-2025-4a35f9429825,,عين السيدة,Aley,Mount Lebanon,BMLWE,Beirut and Mount Lebanon Water Establishment,BMLWE-ALEY,Aley Department,,Aley - Piscine Street - Ghatrif Building,municipality_service_mapping_plus_branch_hint,medium_high,SRC-BMLWE-ABOUT;SRC-BMLWE-CONTACT,source_backed_entity_scope_branch_hint,2026-05-31,Entity resolved from municipality_service_mappings.csv; branch is a district/service-area hint and should not override exact office instructions.
WER-MUN-MOIM-2025-4a45f4e0887f,MUN-MOIM-2025-4a45f4e0887f,MUN-MOIM-2025-4a45f4e0887f,,القماطيه,Aley,Mount Lebanon,BMLWE,Beirut and Mount Lebanon Water Establishment,BMLWE-ALEY,Aley Department,,Aley - Piscine Street - Ghatrif Building,municipality_service_mapping_plus_branch_hint,medium_high,SRC-BMLWE-ABOUT;SRC-BMLWE-CONTACT,source_backed_entity_scope_branch_hint,2026-05-31,Entity resolved from municipality_service_mappings.csv; branch is a district/service-area hint and should not override exact office instructions.
WER-MUN-MOIM-2025-501fc872459e,MUN-MOIM-2025-501fc872459e,MUN-MOIM-2025-501fc872459e,,بمهريه,Aley,Mount Lebanon,BMLWE,Beirut and Mount Lebanon Water Establishment,BMLWE-ALEY,Aley Department,,Aley - Piscine Street - Ghatrif Building,municipality_service_mapping_plus_branch_hint,medium_high,SRC-BMLWE-ABOUT;SRC-BMLWE-CONTACT,source_backed_entity_scope_branch_hint,2026-05-31,Entity resolved from municipality_service_mappings.csv; branch is a district/service-area hint and should not override exact office instructions.
WER-MUN-MOIM-2025-509159eac8ad,MUN-MOIM-2025-509159eac8ad,MUN-MOIM-2025-509159eac8ad,,الرجمه,Aley,Mount Lebanon,BMLWE,Beirut and Mount Lebanon Water Establishment,BMLWE-ALEY,Aley Department,,Aley - Piscine Street - Ghatrif Building,municipality_service_mapping_plus_branch_hint,medium_high,SRC-BMLWE-ABOUT;SRC-BMLWE-CONTACT,source_backed_entity_scope_branch_hint,2026-05-31,Entity resolved from municipality_service_mappings.csv; branch is a district/service-area hint and should not override exact office instructions.
WER-MUN-MOIM-2025-543d7c4984bd,MUN-MOIM-2025-543d7c4984bd,MUN-MOIM-2025-543d7c4984bd,,مجدل بعنا,Aley,Mount Lebanon,BMLWE,Beirut and Mount Lebanon Water Establishment,BMLWE-ALEY,Aley Department,,Aley - Piscine Street - Ghatrif Building,municipality_service_mapping_plus_branch_hint,medium_high,SRC-BMLWE-ABOUT;SRC-BMLWE-CONTACT,source_backed_entity_scope_branch_hint,2026-05-31,Entity resolved from municipality_service_mappings.csv; branch is a district/service-area hint and should not override exact office instructions.
WER-MUN-MOIM-2025-547eeb3ac316,MUN-MOIM-2025-547eeb3ac316,MUN-MOIM-2025-547eeb3ac316,,بعورته,Aley,Mount Lebanon,BMLWE,Beirut and Mount Lebanon Water Establishment,BMLWE-ALEY,Aley Department,,Aley - Piscine Street - Ghatrif Building,municipality_service_mapping_plus_branch_hint,medium_high,SRC-BMLWE-ABOUT;SRC-BMLWE-CONTACT,source_backed_entity_scope_branch_hint,2026-05-31,Entity resolved from municipality_service_mappings.csv; branch is a district/service-area hint and should not override exact office instructions.
WER-MUN-MOIM-2025-56475a17d8c4,MUN-MOIM-2025-56475a17d8c4,MUN-MOIM-2025-56475a17d8c4,,حومال,Aley,Mount Lebanon,BMLWE,Beirut and Mount Lebanon Water Establishment,BMLWE-ALEY,Aley Department,,Aley - Piscine Street - Ghatrif Building,municipality_service_mapping_plus_branch_hint,medium_high,SRC-BMLWE-ABOUT;SRC-BMLWE-CONTACT,source_backed_entity_scope_branch_hint,2026-05-31,Entity resolved from municipality_service_mappings.csv; branch is a district/service-area hint and should not override exact office instructions.
WER-MUN-MOIM-2025-59f4755de0fa,MUN-MOIM-2025-59f4755de0fa,MUN-MOIM-2025-59f4755de0fa,,الرمليه,Aley,Mount Lebanon,BMLWE,Beirut and Mount Lebanon Water Establishment,BMLWE-ALEY,Aley Department,,Aley - Piscine Street - Ghatrif Building,municipality_service_mapping_plus_branch_hint,medium_high,SRC-BMLWE-ABOUT;SRC-BMLWE-CONTACT,source_backed_entity_scope_branch_hint,2026-05-31,Entity resolved from municipality_service_mappings.csv; branch is a district/service-area hint and should not override exact office instructions.
WER-MUN-MOIM-2025-654693420442,MUN-MOIM-2025-654693420442,MUN-MOIM-2025-654693420442,,العزونية,Aley,Mount Lebanon,BMLWE,Beirut and Mount Lebanon Water Establishment,BMLWE-ALEY,Aley Department,,Aley - Piscine Street - Ghatrif Building,municipality_service_mapping_plus_branch_hint,medium_high,SRC-BMLWE-ABOUT;SRC-BMLWE-CONTACT,source_backed_entity_scope_branch_hint,2026-05-31,Entity resolved from municipality_service_mappings.csv; branch is a district/service-area hint and should not override exact office instructions.
WER-MUN-MOIM-2025-6768113d43ac,MUN-MOIM-2025-6768113d43ac,MUN-MOIM-2025-6768113d43ac,,رويسة النعمان,Aley,Mount Lebanon,BMLWE,Beirut and Mount Lebanon Water Establishment,BMLWE-ALEY,Aley Department,,Aley - Piscine Street - Ghatrif Building,municipality_service_mapping_plus_branch_hint,medium_high,SRC-BMLWE-ABOUT;SRC-BMLWE-CONTACT,source_backed_entity_scope_branch_hint,2026-05-31,Entity resolved from municipality_service_mappings.csv; branch is a district/service-area hint and should not override exact office instructions.
WER-MUN-MOIM-2025-6b34331cb8eb,MUN-MOIM-2025-6b34331cb8eb,MUN-MOIM-2025-6b34331cb8eb,,بحمدون,Aley,Mount Lebanon,BMLWE,Beirut and Mount Lebanon Water Establishment,BMLWE-ALEY,Aley Department,,Aley - Piscine Street - Ghatrif Building,municipality_service_mapping_plus_branch_hint,medium_high,SRC-BMLWE-ABOUT;SRC-BMLWE-CONTACT,source_backed_entity_scope_branch_hint,2026-05-31,Entity resolved from municipality_service_mappings.csv; branch is a district/service-area hint and should not override exact office instructions.
WER-MUN-MOIM-2025-77ed27eaf185,MUN-MOIM-2025-77ed27eaf185,MUN-MOIM-2025-77ed27eaf185,,عين داره,Aley,Mount Lebanon,BMLWE,Beirut and Mount Lebanon Water Establishment,BMLWE-ALEY,Aley Department,,Aley - Piscine Street - Ghatrif Building,municipality_service_mapping_plus_branch_hint,medium_high,SRC-BMLWE-ABOUT;SRC-BMLWE-CONTACT,source_backed_entity_scope_branch_hint,2026-05-31,Entity resolved from municipality_service_mappings.csv; branch is a district/service-area hint and should not override exact office instructions.
WER-MUN-MOIM-2025-82de051292c3,MUN-MOIM-2025-82de051292c3,MUN-MOIM-2025-82de051292c3,,محطة بحمدون,Aley,Mount Lebanon,BMLWE,Beirut and Mount Lebanon Water Establishment,BMLWE-ALEY,Aley Department,,Aley - Piscine Street - Ghatrif Building,municipality_service_mapping_plus_branch_hint,medium_high,SRC-BMLWE-ABOUT;SRC-BMLWE-CONTACT,source_backed_entity_scope_branch_hint,2026-05-31,Entity resolved from municipality_service_mappings.csv; branch is a district/service-area hint and should not override exact office instructions.
WER-MUN-MOIM-2025-83858656a38c,MUN-MOIM-2025-83858656a38c,MUN-MOIM-2025-83858656a38c,,الكحاله,Aley,Mount Lebanon,BMLWE,Beirut and Mount Lebanon Water Establishment,BMLWE-ALEY,Aley Department,,Aley - Piscine Street - Ghatrif Building,municipality_service_mapping_plus_branch_hint,medium_high,SRC-BMLWE-ABOUT;SRC-BMLWE-CONTACT,source_backed_entity_scope_branch_hint,2026-05-31,Entity resolved from municipality_service_mappings.csv; branch is a district/service-area hint and should not override exact office instructions.
WER-MUN-MOIM-2025-9203da613ae8,MUN-MOIM-2025-9203da613ae8,MUN-MOIM-2025-9203da613ae8,,بدادون,Aley,Mount Lebanon,BMLWE,Beirut and Mount Lebanon Water Establishment,BMLWE-ALEY,Aley Department,,Aley - Piscine Street - Ghatrif Building,municipality_service_mapping_plus_branch_hint,medium_high,SRC-BMLWE-ABOUT;SRC-BMLWE-CONTACT,source_backed_entity_scope_branch_hint,2026-05-31,Entity resolved from municipality_service_mappings.csv; branch is a district/service-area hint and should not override exact office instructions.
WER-MUN-MOIM-2025-a2ae5227dde3,MUN-MOIM-2025-a2ae5227dde3,MUN-MOIM-2025-a2ae5227dde3,,عين درافيل+ عبيه,Aley,Mount Lebanon,BMLWE,Beirut and Mount Lebanon Water Establishment,BMLWE-ALEY,Aley Department,,Aley - Piscine Street - Ghatrif Building,municipality_service_mapping_plus_branch_hint,medium_high,SRC-BMLWE-ABOUT;SRC-BMLWE-CONTACT,source_backed_entity_scope_branch_hint,2026-05-31,Entity resolved from municipality_service_mappings.csv; branch is a district/service-area hint and should not override exact office instructions.
WER-MUN-MOIM-2025-aea3c8b40981,MUN-MOIM-2025-aea3c8b40981,MUN-MOIM-2025-aea3c8b40981,,بليبل,Aley,Mount Lebanon,BMLWE,Beirut and Mount Lebanon Water Establishment,BMLWE-ALEY,Aley Department,,Aley - Piscine Street - Ghatrif Building,municipality_service_mapping_plus_branch_hint,medium_high,SRC-BMLWE-ABOUT;SRC-BMLWE-CONTACT,source_backed_entity_scope_branch_hint,2026-05-31,Entity resolved from municipality_service_mappings.csv; branch is a district/service-area hint and should not override exact office instructions.
WER-MUN-MOIM-2025-b649fc13a36e,MUN-MOIM-2025-b649fc13a36e,MUN-MOIM-2025-b649fc13a36e,,التعزانية,Aley,Mount Lebanon,BMLWE,Beirut and Mount Lebanon Water Establishment,BMLWE-ALEY,Aley Department,,Aley - Piscine Street - Ghatrif Building,municipality_service_mapping_plus_branch_hint,medium_high,SRC-BMLWE-ABOUT;SRC-BMLWE-CONTACT,source_backed_entity_scope_branch_hint,2026-05-31,Entity resolved from municipality_service_mappings.csv; branch is a district/service-area hint and should not override exact office instructions.
WER-MUN-MOIM-2025-b8a6c35d9c01,MUN-MOIM-2025-b8a6c35d9c01,MUN-MOIM-2025-b8a6c35d9c01,,عين كسور,Aley,Mount Lebanon,BMLWE,Beirut and Mount Lebanon Water Establishment,BMLWE-ALEY,Aley Department,,Aley - Piscine Street - Ghatrif Building,municipality_service_mapping_plus_branch_hint,medium_high,SRC-BMLWE-ABOUT;SRC-BMLWE-CONTACT,source_backed_entity_scope_branch_hint,2026-05-31,Entity resolved from municipality_service_mappings.csv; branch is a district/service-area hint and should not override exact office instructions.
WER-MUN-MOIM-2025-d0c0b145464c,MUN-MOIM-2025-d0c0b145464c,MUN-MOIM-2025-d0c0b145464c,,شمالن,Aley,Mount Lebanon,BMLWE,Beirut and Mount Lebanon Water Establishment,BMLWE-ALEY,Aley Department,,Aley - Piscine Street - Ghatrif Building,municipality_service_mapping_plus_branch_hint,medium_high,SRC-BMLWE-ABOUT;SRC-BMLWE-CONTACT,source_backed_entity_scope_branch_hint,2026-05-31,Entity resolved from municipality_service_mappings.csv; branch is a district/service-area hint and should not override exact office instructions.
WER-MUN-MOIM-2025-d60f4c32a9ec,MUN-MOIM-2025-d60f4c32a9ec,MUN-MOIM-2025-d60f4c32a9ec,,عين الجديدة,Aley,Mount Lebanon,BMLWE,Beirut and Mount Lebanon Water Establishment,BMLWE-ALEY,Aley Department,,Aley - Piscine Street - Ghatrif Building,municipality_service_mapping_plus_branch_hint,medium_high,SRC-BMLWE-ABOUT;SRC-BMLWE-CONTACT,source_backed_entity_scope_branch_hint,2026-05-31,Entity resolved from municipality_service_mappings.csv; branch is a district/service-area hint and should not override exact office instructions.
WER-MUN-MOIM-2025-d9a9b355ef60,MUN-MOIM-2025-d9a9b355ef60,MUN-MOIM-2025-d9a9b355ef60,,دير قوبل,Aley,Mount Lebanon,BMLWE,Beirut and Mount Lebanon Water Establishment,BMLWE-ALEY,Aley Department,,Aley - Piscine Street - Ghatrif Building,municipality_service_mapping_plus_branch_hint,medium_high,SRC-BMLWE-ABOUT;SRC-BMLWE-CONTACT,source_backed_entity_scope_branch_hint,2026-05-31,Entity resolved from municipality_service_mappings.csv; branch is a district/service-area hint and should not override exact office instructions.
WER-MUN-MOIM-2025-de9369fef0c9,MUN-MOIM-2025-de9369fef0c9,MUN-MOIM-2025-de9369fef0c9,,رشميا,Aley,Mount Lebanon,BMLWE,Beirut and Mount Lebanon Water Establishment,BMLWE-ALEY,Aley Department,,Aley - Piscine Street - Ghatrif Building,municipality_service_mapping_plus_branch_hint,medium_high,SRC-BMLWE-ABOUT;SRC-BMLWE-CONTACT,source_backed_entity_scope_branch_hint,2026-05-31,Entity resolved from municipality_service_mappings.csv; branch is a district/service-area hint and should not override exact office instructions.
